child,testlanguage,age,narrative,complete,mode,test_lang_status,ling
ch2356or2,eng,100,nar_1,0,retelling,L2,Bilingual
ch2356or2,eng,100,nar_2,0,retelling,L2,Bilingual
ch2356or2,eng,100,nar_3,1,retelling,L2,Bilingual
ch2356or2,per,100,nar_1,1,retelling,L1,Bilingual
ch2356or2,per,100,nar_2,0,retelling,L1,Bilingual
ch2356or2,per,100,nar_3,1,retelling,L1,Bilingual
ch2357or2,eng,104,nar_1,0,retelling,L2,Bilingual
ch2357or2,eng,104,nar_2,0,retelling,L2,Bilingual
ch2357or2,eng,104,nar_3,0,retelling,L2,Bilingual
ch2357or2,per,104,nar_1,1,retelling,L1,Bilingual
ch2357or2,per,104,nar_2,0,retelling,L1,Bilingual
ch2357or2,per,104,nar_3,0,retelling,L1,Bilingual
ch2358or2,per,106,nar_1,1,retelling,L1,Bilingual
ch2358or2,per,106,nar_2,1,retelling,L1,Bilingual
ch2358or2,per,106,nar_3,0,retelling,L1,Bilingual
ch2358or2,eng,106,nar_1,0,retelling,L2,Bilingual
ch2358or2,eng,106,nar_2,1,retelling,L2,Bilingual
ch2358or2,eng,106,nar_3,0,retelling,L2,Bilingual
ch2359or2,per,112,nar_1,1,retelling,L1,Bilingual
ch2359or2,per,112,nar_2,0,retelling,L1,Bilingual
ch2359or2,per,112,nar_3,0,retelling,L1,Bilingual
ch2359or2,eng,112,nar_1,0,retelling,L2,Bilingual
ch2359or2,eng,112,nar_2,0,retelling,L2,Bilingual
ch2359or2,eng,112,nar_3,0,retelling,L2,Bilingual
ch2360or2,eng,97,nar_1,1,retelling,L2,Bilingual
ch2360or2,eng,97,nar_2,1,retelling,L2,Bilingual
ch2360or2,eng,97,nar_3,1,retelling,L2,Bilingual
ch2360or2,per,97,nar_1,0,retelling,L1,Bilingual
ch2360or2,per,97,nar_2,0,retelling,L1,Bilingual
ch2360or2,per,97,nar_3,0,retelling,L1,Bilingual
ch2361or2,per,108,nar_1,1,retelling,L1,Bilingual
ch2361or2,per,108,nar_2,0,retelling,L1,Bilingual
ch2361or2,per,108,nar_3,0,retelling,L1,Bilingual
ch2361or2,eng,108,nar_1,1,retelling,L2,Bilingual
ch2361or2,eng,108,nar_2,0,retelling,L2,Bilingual
ch2361or2,eng,108,nar_3,0,retelling,L2,Bilingual
ch2362or2,per,108,nar_1,0,retelling,L1,Bilingual
ch2362or2,per,108,nar_2,1,retelling,L1,Bilingual
ch2362or2,per,108,nar_3,0,retelling,L1,Bilingual
ch2362or2,eng,108,nar_1,0,retelling,L2,Bilingual
ch2362or2,eng,108,nar_2,1,retelling,L2,Bilingual
ch2362or2,eng,108,nar_3,0,retelling,L2,Bilingual
ch2363or2,per,108,nar_1,1,retelling,L1,Bilingual
ch2363or2,per,108,nar_2,1,retelling,L1,Bilingual
ch2363or2,per,108,nar_3,1,retelling,L1,Bilingual
ch2363or2,eng,108,nar_1,1,retelling,L2,Bilingual
ch2363or2,eng,108,nar_2,0,retelling,L2,Bilingual
ch2363or2,eng,108,nar_3,0,retelling,L2,Bilingual
ch2364or2,per,100,nar_1,1,retelling,L1,Bilingual
ch2364or2,per,100,nar_2,0,retelling,L1,Bilingual
ch2364or2,per,100,nar_3,1,retelling,L1,Bilingual
ch2364or2,eng,100,nar_1,1,retelling,L2,Bilingual
ch2364or2,eng,100,nar_2,0,retelling,L2,Bilingual
ch2364or2,eng,100,nar_3,0,retelling,L2,Bilingual
ch2365or2,per,96,nar_1,0,retelling,L1,Bilingual
ch2365or2,per,96,nar_2,0,retelling,L1,Bilingual
ch2365or2,per,96,nar_3,0,retelling,L1,Bilingual
ch2365or2,eng,96,nar_1,0,retelling,L2,Bilingual
ch2365or2,eng,96,nar_2,0,retelling,L2,Bilingual
ch2365or2,eng,96,nar_3,0,retelling,L2,Bilingual
ch2366or2,eng,103,nar_1,0,retelling,L2,Bilingual
ch2366or2,eng,103,nar_2,0,retelling,L2,Bilingual
ch2366or2,eng,103,nar_3,0,retelling,L2,Bilingual
ch2366or2,per,103,nar_1,1,retelling,L1,Bilingual
ch2366or2,per,103,nar_2,0,retelling,L1,Bilingual
ch2366or2,per,103,nar_3,0,retelling,L1,Bilingual
ch2367or2,eng,104,nar_1,0,retelling,L2,Bilingual
ch2367or2,eng,104,nar_2,0,retelling,L2,Bilingual
ch2367or2,eng,104,nar_3,0,retelling,L2,Bilingual
ch2367or2,per,104,nar_1,0,retelling,L1,Bilingual
ch2367or2,per,104,nar_2,0,retelling,L1,Bilingual
ch2367or2,per,104,nar_3,0,retelling,L1,Bilingual
ch2368or2,eng,96,nar_1,1,retelling,L2,Bilingual
ch2368or2,eng,96,nar_2,1,retelling,L2,Bilingual
ch2368or2,eng,96,nar_3,0,retelling,L2,Bilingual
ch2368or2,per,96,nar_1,0,retelling,L1,Bilingual
ch2368or2,per,96,nar_2,0,retelling,L1,Bilingual
ch2368or2,per,96,nar_3,1,retelling,L1,Bilingual
ch2369or2,eng,108,nar_1,0,retelling,L2,Bilingual
ch2369or2,eng,108,nar_2,0,retelling,L2,Bilingual
ch2369or2,eng,108,nar_3,0,retelling,L2,Bilingual
ch2369or2,per,108,nar_1,0,retelling,L1,Bilingual
ch2369or2,per,108,nar_2,0,retelling,L1,Bilingual
ch2369or2,per,108,nar_3,0,retelling,L1,Bilingual
ch2370or2,eng,107,nar_1,1,retelling,L2,Bilingual
ch2370or2,eng,107,nar_2,0,retelling,L2,Bilingual
ch2370or2,eng,107,nar_3,1,retelling,L2,Bilingual
ch2370or2,per,107,nar_1,0,retelling,L1,Bilingual
ch2370or2,per,107,nar_2,0,retelling,L1,Bilingual
ch2370or2,per,107,nar_3,1,retelling,L1,Bilingual
ch2371or2,eng,99,nar_1,1,retelling,L2,Bilingual
ch2371or2,eng,99,nar_2,1,retelling,L2,Bilingual
ch2371or2,eng,99,nar_3,1,retelling,L2,Bilingual
ch2371or2,per,99,nar_1,1,retelling,L1,Bilingual
ch2371or2,per,99,nar_2,0,retelling,L1,Bilingual
ch2371or2,per,99,nar_3,0,retelling,L1,Bilingual
ch2372or2,per,113,nar_1,1,retelling,L1,Bilingual
ch2372or2,per,113,nar_2,1,retelling,L1,Bilingual
ch2372or2,per,113,nar_3,1,retelling,L1,Bilingual
ch2372or2,eng,113,nar_1,1,retelling,L2,Bilingual
ch2372or2,eng,113,nar_2,0,retelling,L2,Bilingual
ch2372or2,eng,113,nar_3,1,retelling,L2,Bilingual
ch2373or2,eng,111,nar_1,1,retelling,L2,Bilingual
ch2373or2,eng,111,nar_2,0,retelling,L2,Bilingual
ch2373or2,eng,111,nar_3,0,retelling,L2,Bilingual
ch2373or2,per,111,nar_1,1,retelling,L1,Bilingual
ch2373or2,per,111,nar_2,0,retelling,L1,Bilingual
ch2373or2,per,111,nar_3,0,retelling,L1,Bilingual
ch2374or2,eng,109,nar_1,1,retelling,L2,Bilingual
ch2374or2,eng,109,nar_2,0,retelling,L2,Bilingual
ch2374or2,eng,109,nar_3,1,retelling,L2,Bilingual
ch2374or2,per,109,nar_1,0,retelling,L1,Bilingual
ch2374or2,per,109,nar_2,0,retelling,L1,Bilingual
ch2374or2,per,109,nar_3,0,retelling,L1,Bilingual
ch2375or2,per,114,nar_1,1,retelling,L1,Bilingual
ch2375or2,per,114,nar_2,1,retelling,L1,Bilingual
ch2375or2,per,114,nar_3,1,retelling,L1,Bilingual
ch2375or2,eng,114,nar_1,1,retelling,L2,Bilingual
ch2375or2,eng,114,nar_2,1,retelling,L2,Bilingual
ch2375or2,eng,114,nar_3,1,retelling,L2,Bilingual
ch1987or4,hrv,78,nar_1,0,telling,L1,Monolingual
ch1987or4,hrv,78,nar_2,0,telling,L1,Monolingual
ch1987or4,hrv,78,nar_3,0,telling,L1,Monolingual
ch1988or4,hrv,74,nar_1,0,telling,L1,Monolingual
ch1988or4,hrv,74,nar_2,0,telling,L1,Monolingual
ch1988or4,hrv,74,nar_3,0,telling,L1,Monolingual
ch1989or4,hrv,72,nar_1,0,telling,L1,Monolingual
ch1989or4,hrv,72,nar_2,0,telling,L1,Monolingual
ch1989or4,hrv,72,nar_3,0,telling,L1,Monolingual
ch1990or4,hrv,77,nar_1,0,telling,L1,Monolingual
ch1990or4,hrv,77,nar_2,0,telling,L1,Monolingual
ch1990or4,hrv,77,nar_3,0,telling,L1,Monolingual
ch1991or4,hrv,68,nar_1,0,telling,L1,Monolingual
ch1991or4,hrv,68,nar_2,0,telling,L1,Monolingual
ch1991or4,hrv,68,nar_3,0,telling,L1,Monolingual
ch1992or4,hrv,72,nar_1,0,telling,L1,Monolingual
ch1992or4,hrv,72,nar_2,0,telling,L1,Monolingual
ch1992or4,hrv,72,nar_3,0,telling,L1,Monolingual
ch1993or4,hrv,76,nar_1,0,telling,L1,Monolingual
ch1993or4,hrv,76,nar_2,0,telling,L1,Monolingual
ch1993or4,hrv,76,nar_3,0,telling,L1,Monolingual
ch1994or4,hrv,76,nar_1,0,telling,L1,Monolingual
ch1994or4,hrv,76,nar_2,0,telling,L1,Monolingual
ch1994or4,hrv,76,nar_3,0,telling,L1,Monolingual
ch1995or4,hrv,76,nar_1,0,telling,L1,Monolingual
ch1995or4,hrv,76,nar_2,1,telling,L1,Monolingual
ch1995or4,hrv,76,nar_3,0,telling,L1,Monolingual
ch1996or4,hrv,79,nar_1,0,telling,L1,Monolingual
ch1996or4,hrv,79,nar_2,0,telling,L1,Monolingual
ch1996or4,hrv,79,nar_3,0,telling,L1,Monolingual
